lm_sensors 3.4.0-2
logrotate 3.12.3-1
lpsolve 5.5.2.5-2
lsdesktopf 1.0.7-4
lua 5.3.4-2
lua52 5.2.4-2
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.176-1
lz4 1:1.8.0-1
lzo 2.10-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
mathjax 2.7.2-1
mdadm 4.0-1
meld-dev 3.17.4-1
mesa 17.2.6-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mobile-broadband-provider-info 20170310-1
mod_dnssd 0.6-6
mousetweaks 3.12.0-2
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
mtdev 1.1.5-1
mutter 3.26.2-1
nano 2.9.1-1
nautilus 3.26.2-1
nautilus-dropbox 2015.10.28-1
nautilus-sendto 3.8.6-1
ncdu 1.12-1
ncurses 6.0+20170902-3
neofetch 3.3.0-1
neon 0.30.2-2
net-tools 1.60.20160710git-1
netbeans-javase 8.2-1
netctl 1.14-1
nettle 3.4-1
network-manager-applet 1.8.7dev+3+g3d7c0a89-1
networkmanager 1.10.0-1
nm-connection-editor 1.8.7dev+3+g3d7c0a89-1
nmap 7.60-1
nodejs 9.2.0-1
npm 5.6.0-1
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
numactl 2.0.11-1
ocl-icd 2.2.11-1
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
opencv 3.3.1-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openmpi 2.1.1-2
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.l-1
openvpn 2.4.4-1
openvpn-reconnect 1-2
openvpn-update-resolv-conf r42.43093c2-0
